a                   un                                      
abacterial          abacteriano                             
abacus              ábaco                                   
abaft               a popa                                  
abandoned           abandonado                              
abandonee           abandonado                              
abandonment         abandono                                
abasement           humillación                             
abashed             avergonzado                             
abashing            vergonzoso                              
abatement           disminución                             
abattoir            matadero de reses                       
abaxial             extraaxial                              
abbe                abate                                   
abbess              abadesa                                 
abbey               abadía                                  
abbot               abad                                    
abbreviation        abreviatura                             
abc                 abecedario                              
abdication          abdicación                              
abdomen             abdomen                                 
abdominal           abdominal                               
abdominally         abdominalmente                          
abduction           abducción                               
abductor            raptor                                  
abductors           abductores                              
abeam               de través                               
abed                en cama                                 
aberrancy           aberración                              
aberrant            aberrante                               
aberration          aberración                              
abetment            complicidad                             
abettor             cómplice                                
abeyance            suspensión                              
abhorrence          aborrecimiento                          
abhorrent           detestable                              
abidance            acatamiento                             
abiding             duradero                                
ability             capacidad                               
abject              abyecto                                 
abjuration          renuncia                                
ablation            ablación                                
ablative            ablativo                                
ablaze              ardiendo                                
able                capaz                                   
able-bodied         robusto                                 
ablution            ablución                                
ably                hábilmente                              
abnegate            abnegado                                
abnegation          abnegación                              
abnormal            anormal                                 
abnormality         anormalidad                             
abnormally          anormalmente                            
aboard              a bordo                                 
abode               residencia                              
abolishment         abolición                               
abolition           abolición                               
abolitionist        abolicionista                           
abominable          abominable                              
abomination         abominación                             
aboriginal          aborigen                                
aborigine           aborigen                                
abortion            aborto                                  
abortionist         abortista                               
abortive            abortivo                                
about               acerca                                  
about-face          media vuelta                            
above               arriba                                  
aboveboard          abiertamente                            
abrasion            abrasión                                
abrasive            abrasivo                                
abreast             de frente                               
abridged            abreviado                               
abridgement         resumen                                 
abroad              en el extranjero                        
abrupt              abrupto                                 
abruptly            abruptamente                            
abruptness          aspereza                                
abscess             abceso                                  
absence             ausencia                                
absent              ausente                                 
absent-minded       distraído                               
absentee            ausente                                 
absentminded        distraído                               
absolute            absoluto                                
absolutely          absolutamente                           
absoluteness        absolutismo                             
absolution          absolución                              
absolutism          absolutismo                             
absorbed            absorbido                               
absorbent           absorbente                              
absorber            absorbente                              
absorbing           absorbente                              
absorption          absorción                               
abstainer           abstemio                                
abstemious          abstemio                                
abstention          abstención                              
abstinence          abstinencia                             
abstinent           abstinente                              
abstract            abstracto                               
abstracted          abstraído                               
abstraction         abstracción                             
abstruse            abstruso                                
absurd              absurdo                                 
absurdity           absurdo                                 
absurdly            absurdamente                            
abundance           abundancia                              
abundant            abundante                               
abundantly          abundantemente                          
abuse               abuso                                   
abusive             abusivo                                 
abusively           abusivamente                            
abutment            estribo                                 
abysmal             abismal                                 
abyss               abismo                                  
academic            académico                               
academically        académicamente                          
academician         académico                               
academy             academia                                
accelerated         acelerado                               
acceleration        aceleración                             
accelerator         acelerador                              
accent              acento                                  
accentuation        acentuación                             
acceptability       aceptabilidad                           
acceptable          aceptable                               
acceptably          aceptablemente                          
acceptance          acepto                                  
accessible          accesible                               
accession           asentimiento                            
accessories         accesorios                              
accessory           accesorio                               
accident            accidente                               
accidental          accidental                              
accidentally        accidentalmente                         
acclamation         aclamación                              
acclimate           aclimatar                               
acclimation         aclimatación                            
acclimatization     aclimatación                            
acclivity           subida                                  
accolade            espaldarazo                             
accommodating       servicial                               
accommodation       acomodación                             
accompaniment       acompañamiento                          
accompanist         acompañante                             
accomplice          cómplice                                
accomplished        cumplido                                
accomplishment      cumplimiento                            
accord              acuerdo                                 
accordance          acuerdo                                 
according           conforme                                
accordingly         de acuerdo con                          
accordion           acordeón                                
accordionist        acordeonista                            
accountability      responsabilidad                         
accountable         responsable                             
accountancy         contabilidad                            
accountant          contable                                
accounting          contabilidad                            
accreditation       acreditación                            
accredited          acreditado                              
accrual             incremento                              
accumulated         acumulado                               
accumulation        acumulación                             
accumulative        acumulativo                             
accumulator         acumulador                              
accuracy            exactitud                               
accurate            preciso                                 
accursed            maldito                                 
accusation          acusación                               
accusative          acusativo                               
accusatory          acusatorio                              
accused             acusado                                 
accuser             acusador                                
accustomed          acostumbrado                            
ace                 as                                      
acerbity            acerbidad                               
acetate             acetato                                 
acetic              acético                                 
acetone             acetona                                 
acetylene           acetileno                               
ache                dolor                                   
achievement         logro                                   
aching              dolor                                   
acid                ácido                                   
acidic              agrio                                   
acidity             acidez                                  
acidosis            acidosis                                
acknowledgment      acuse de recibo                         
acme                apogeo                                  
acne                acné                                    
acolyte             acólito                                 
acorn               bellota                                 
acoustic            acústico                                
acoustics           acústica                                
acquaint            enterar                                 
acquaintance        conocimiento                            
acquaintances       conocidos                               
acquiescence        asentimiento                            
acquiescent         conforme                                
acquired            adquirido                               
acquirement         adquisición                             
acquisition         adquisición                             
acquisitive         adquisitivo                             
acquit              descargar                               
acquittal           descargo                                
acre                acre                                    
acreage             extensión en acres                      
acrid               acre                                    
acridity            acritud                                 
acrimonious         acre                                    
acrobat             acróbata                                
acrobatic           acrobático                              
acrobatics          acrobacia                               
acronym             sigla                                   
acrophobia          acrofobia                               
across              por                                     
acrylic             acrílico                                
act                 acto                                    
acting              acción                                  
actinium            actinio                                 
action              acción                                  
active              activo                                  
actively            activamente                             
activist            activista                               
activity            actividad                               
actor               actor                                   
actress             actriz                                  
actual              efectivo                                
actuality           realidad                                
actually            realmente                               
actuary             escribano                               
acuity              agudeza                                 
acupuncture         acupuntura                              
acute               agudo                                   
acutely             agudamente                              
acuteness           agudeza                                 
adage               proverbio                               
adagio              adagio                                  
adamant             inexorable                              
adaptability        adaptabilidad                           
adaptable           adaptable                               
adaptation          adaptación                              
adapter             adaptador                               
adaptive            adaptable                               
addendum            añadido                                 
adder               sumador                                 
addict              adicto                                  
addiction           adicción                                
addition            adición                                 
additional          adicional                               
additionally        adicionalmente                          
additive            aditivo                                 
addle               podrido                                 
address             dirección                               
addressee           destinatario                            
adenocarcinoma      adenocarcinoma                          
adept               adepto                                  
adeptly             diestramente                            
adeptness           destreza                                
adequacy            suficiencia                             
adequate            adecuado                                
adequately          adecuadamente                           
adherence           adhesión                                
adherent            adhesivo                                
adhesion            adherencia                              
adhesive            adhesivo                                
adhesiveness        adhesividad                             
adieu               adiós                                   
adipose             adiposo                                 
adjacent            adyacente                               
adjectival          adjetivo                                
adjective           adjetivo                                
adjoining           inmediato                               
adjourn             prórroga                                
adjournment         aplazamiento                            
adjudication        juicio                                  
adjudicator         juez                                    
adjunct             adjunto                                 
adjuster            ajustador                               
adjustment          ajuste                                  
adjutant            ayudante                                
administration      administración                          
administrative      administrativo                          
administrator       administrador                           
admirable           admirable                               
admirably           admirablemente                          
admiral             almirante                               
admiralty           almirantazgo                            
admiration          admiración                              
admirer             admirador                               
admiringly          admirativamente                         
admissible          admisible                               
admission           admisión                                
admittance          admisión                                
admittedly          reconocidamente                         
admixture           mezcla                                  
admonishment        amonestación                            
admonition          amonestación                            
adolescence         adolescencia                            
adolescent          adolescente                             
adoption            adopción                                
adoptive            adoptivo                                
adorable            adorable                                
adoration           adoración                               
adorer              adorador                                
adornment           adorno                                  
adrenalin           adrenalina                              
adrenaline          adrenalina                              
adrift              a la deriva                             
adroit              diestro                                 
adroitness          destreza                                
adsorption          adsorción                               
adulation           adulación                               
adult               adulto                                  
adulteration        adulteración                            
adulterer           adúltero                                
adulteress          adúltera                                
adulterous          adúltero                                
adultery            adulterio                               
adulthood           edad adulta                             
advance             adelanto                                
advanced            avanzado                                
advancement         adelantamiento                          
advantage           ventaja                                 
advantageous        ventajoso                               
advantageously      ventajosamente                          
advent              advenimiento                            
adventitious        adventicio                              
adventure           aventura                                
adventurer          aventurero                              
adventuress         aventurera                              
adventurous         aventurado                              
adventurously       arriesgadamente                         
adverb              adverbio                                
adverbial           adverbial                               
adversary           adversario                              
adverse             adverso                                 
adversely           adversamente                            
adversity           adversidad                              
advertisement       anuncio                                 
advertiser          anunciante                              
advertising         publicidad                              
advice              consejo                                 
advisability        prudencia                               
advisable           aconsejable                             
advisably           prudentemente                           
advisedly           deliberadamente                         
advisement          consideración                           
adviser             asesor                                  
advisor             asesor                                  
advocacy            abogacía                                
advocate            abogado                                 
aegis               amparo                                  
Aeneas              Eneas                                   
aeration            ventilación                             
aerial              antena                                  
aerie               nido de águila                          
aerodynamic         aerodinámico                            
aerodynamics        aerodinámica                            
aeronautic          aeronáutico                             
aeronautics         aeronáutica                             
aeroplane           aeroplano                               
aerosol             aerosol                                 
aerospace           aerospacial                             
aesthetic           estético                                
aesthetics          estética                                
afar                lejos                                   
affability          afabilidad                              
affable             afable                                  
affably             afablemente                             
affair              asunto                                  
affectation         afectación                              
affected            afectado                                
affecting           conmovedor                              
affection           afecto                                  
affectionate        afectuoso                               
affectionately      afectuosamente                          
affiance            confianza                               
affiliate           afiliado                                
affiliation         afiliación                              
affinity            afinidad                                
affirmation         afirmación                              
affirmative         afirmativo                              
affirmatively       afirmativamente                         
affix               añadidura                               
affliction          aflicción                               
affluence           afluencia                               
affluent            abundante                               
affordable          económico                               
affront             afrenta                                 
Afghan              afgano                                  
aficionado          aficionado                              
afield              lejos de casa                           
afire               ardiendo                                
aflame              en llamas                               
afloat              flotante                                
afoot               a pie                                   
aforementioned      antes mencionado                        
aforesaid           antes mencionado                        
aforethought        premeditación                           
afraid              asustado                                
afresh              de nuevo                                
Africa              África                                  
African             africano                                
aft                 a popa                                  
after               después                                 
afterdeck           cubierta de popa                        
aftereffect         resultados                              
aftermath           consecuencia                            
afternoon           tarde                                   
aftertaste          regusto                                 
afterthought        ocurrencia tardía                       
afterward           después                                 
afterwards          después                                 
again               de nuevo                                
against             contra                                  
agape               ágape                                   
agate               ágata                                   
age                 edad                                    
aged                viejo                                   
ageism              discriminación contra los ancianos      
ageless             eterno                                  
agency              agencia                                 
agenda              agenda                                  
agent               agente                                  
agglomerate         aglomerado                              
agglomeration       aglomeración                            
agglutination       aglutinación                            
aggrandizement      engrandecimiento                        
aggravating         agravante                               
aggravation         agravamiento                            
aggregate           agregado                                
aggression          agresión                                
aggressive          agresivo                                
aggressively        agresivamente                           
aggressiveness      agresividad                             
aggressor           agresor                                 
aggrieved           afligido                                
aghast              espantado                               
agile               ágil                                    
agility             agilidad                                
aging               envejecimiento                          
agitated            agitado                                 
agitation           agitación                               
agitator            agitador                                
agleam              brillante                               
aglow               encendido                               
agnostic            agnóstico                               
agnosticism         agnosticismo                            
ago                 hace                                    
agog                ansiosamente                            
agonizing           agónico                                 
agony               agonía                                  
agoraphobia         agorafobia                              
agrarian            agrario                                 
agreeable           conforme                                
agreeably           agradablemente                          
agreed              acordado                                
agreement           acuerdo                                 
agricultural        agrícola                                
agriculture         agricultura                             
agriculturist       agricultor                              
agronomic           agronómico                              
agronomy            agronomía                               
aground             varado                                  
ahead               adelantado                              
aid                 ayuda                                   
aide                ayudante                                
AIDS                SIDA                                    
aileron             alerón                                  
ailing              enfermo                                 
ailment             dolencia                                
aimless             sin objeto                              
air                 aire                                    
air-conditioned     con aire acondicionado                  
air-conditioning    acondicionamiento de aire               
airbag              airbag                                  
aircraft            avión                                   
airfield            campo de aviación                       
airiness            viveza                                  
airing              ventilación                             
airlift             puente aéreo                            
airline             linea aérea                             
airliner            avión de transporte                     
airmail             correo aéreo                            
airman              aviador                                 
airport             aeropuerto                              
airship             aeronave                                
airsick             mareado (en avión)                      
airstrip            pista de aterrizaje                     
airtight            hermético                               
airway              vía aérea                               
airy                airoso                                  
aisle               pasillo                                 
ajar                entreabierto                            
akin                semejante                               
Alabama             Alabama                                 
alacrity            diligencia                              
alarm               alarma                                  
alarmed             alarmado                                
alarming            alarmante                               
alarmist            alarmista                               
alas                ay                                      
Alaska              Alaska                                  
Albania             Albania                                 
Albanian            albanés                                 
albeit              aunque                                  
albino              albino                                  
album               álbum                                   
albumin             albúmina                                
alchemist           alquimista                              
alcohol             alcohol                                 
alcoholic           alcohólico                              
alcoholism          alcoholismo                             
alcove              alcoba                                  
aldehyde            aldehído                                
ale                 ale (cerveza inglesa)                   
alert               alarma                                  
alertness           vigilancia                              
alfalfa             alfalfa                                 
alga                alga                                    
algebra             álgebra                                 
algebraic           algebraico                              
algorithm           algoritmo                               
alias               alias                                   
alibi               coartada                                
alien               extranjero                              
alienable           alienable                               
alienation          alienación                              
alienist            psiquiatra                              
alight              encendido                               
alignment           alineación                              
alike               por igual                               
aliment             alimento                                
alimentary          alimentario                             
alimony             pensión                                 
alive               vivo                                    
alkali              álcali                                  
alkalinity          alcalinidad                             
all                 todo                                    
Allah               Alá                                     
allegation          alegación                               
alleged             alegado                                 
allegedly           pretendidamente                         
allegiance          obediencia                              
allegoric           alegórico                               
allegorical         alegórico                               
allegory            alegoría                                
allegro             alegro                                  
allergen            alérgeno                                
allergic            alérgico                                
allergy             alergia                                 
alleviation         alivio                                  
alley               callejón                                
alliance            alianza                                 
allied              aliado                                  
alligator           caimán                                  
alliteration        aliteración                             
alliterative        aliterado                               
allmouth            rape                                    
allocation          asignación                              
allotment           reparto                                 
allowable           aceptable                               
allowance           concesión                               
allowed             permitido                               
alloy               aleación                                
allspice            pimienta inglesa                        
alluring            seductor                                
allusion            alusión                                 
allusive            alusivo                                 
alluvial            de aluvión                              
alluvium            aluvión                                 
ally                aliado                                  
almanac             almanaque                               
almighty            omnipotente                             
almond              almendra                                
Almoravid           almorávide                              
almost              casi                                    
alms                limosnas                                
aloft               arriba                                  
alone               solo                                    
along               a lo largo de                           
alongshore          a lo largo de la costa                  
alongside           a lo largo de                           
aloof               apartado                                
aloofness           alejamiento                             
aloud               en voz alta                             
alpaca              alpaca                                  
alpha               alfa                                    
alphabet            alfabeto                                
alphabetic          alfabético                              
alphabetical        alfabético                              
alpine              alpino                                  
Alps                Alpes                                   
already             ya                                      
Alsace              Alsacia                                 
also                también                                 
altar               altar                                   
alteration          alteración                              
altercation         altercado                               
alternate           alternativa                             
alternating         alterno                                 
alternation         alternancia                             
alternative         alternativa                             
although            aunque                                  
altitude            altitud                                 
alto                contralto                               
altogether          generalmente                            
altruism            altruismo                               
altruist            altruista                               
altruistic          altruista                               
alum                alumbre                                 
alumina             alúmina                                 
aluminum            aluminio                                
alumnus             alumno                                  
always              siempre                                 
amalgam             amalgama                                
amalgamate          amalgamar                               
amalgamation        amalgamación                            
amass               amontonar                               
amateur             aficionado                              
amateurish          chapucero                               
amatory             amatorio                                
amazed              asombrado                               
amazement           asombro                                 
amazing             asombroso                               
amazingly           increíblemente                          
ambassador          embajador                               
amber               ámbar                                   
ambidextrous        ambidextro                              
ambient             ambiente                                
ambiguity           ambigüedad                              
ambiguous           ambiguo                                 
ambition            ambición                                
ambitious           ambicioso                               
amble               ambladura (de un caballo)               
ambrosia            ambrosía                                
ambulance           ambulancia                              
ambulant            ambulante                               
ambush              emboscada                               
ameba               ameba                                   
ameliorate          mejorar                                 
amelioration        mejora                                  
amen                amén                                    
amenable            dócil                                   
amend               enmendar                                
amendment           enmienda                                
amenity             amenidad                                
America             América                                 
American            americano                               
Americanism         americanismo                            
Americanize         americanizar                            
amiability          amabilidad                              
amiable             amable                                  
amicability         amistad                                 
amicable            amigable                                
amicably            amistosamente                           
amid                en medio de                             
amidships           en medio del buque                      
amidst              en medio de                             
amiss               errado                                  
amity               amistad                                 
ammo                munición                                
ammonia             amoniaco                                
ammonium            amonio                                  
ammunition          munición                                
amnesia             amnesia                                 
amnesty             amnistía                                
amniocentesis       amniocéntesis                           
amoeba              ameba                                   
among               entre                                   
amongst             entre                                   
amoral              amoral                                  
amorous             amoroso                                 
amorphous           amorfo                                  
amortization        amortización                            
amortize            amortizar                               
amount              cantidad                                
amour               amorío                                  
amp                 amperio                                 
amperage            amperaje                                
ampere              amperio                                 
amphibian           anfibio                                 
amphibious          anfibio                                 
amphitheater        anfiteatro                              
ample               amplio                                  
amplification       amplificación                           
amplitude           amplitud                                
amply               ampliamente                             
ampoule             ampolla                                 
amputation          amputación                              
Amsterdam           Amsterdam                               
amulet              amuleto                                 
amusement           entretenimiento                         
amusing             entretenido                             
amygdala            amígdala                                
an                  un                                      
anachronism         anacronismo                             
anachronistic       anacrónico                              
anaconda            anaconda                                
anagram             anagrama                                
anal                anal                                    
analgesia           analgesia                               
analgesic           analgésico                              
analitical          analítica                               
analogical          analógico                               
analogous           análogo                                 
analogue            análogo                                 
analogy             analogía                                
analysis            análisis                                
analyst             analista                                
analytic            analítico                               
analytical          analítico                               
analyze             analizar                                
anarchical          anárquico                               
anarchism           anarquismo                              
anarchist           anarquista                              
anarchy             anarquía                                
anathema            anatema                                 
anatomical          anatómico                               
anatomist           anatomista                              
anatomy             anatomía                                
ancestor            antepasado                              
ancestral           ancestral                               
ancestry            linaje                                  
anchor              ancla                                   
anchorage           anclaje                                 
anchorite           anacoreta                               
anchovy             anchoa                                  
ancient             antiguo                                 
ancillary           auxiliar                                
and                 y                                       
Andalucia           Andalucía                               
Andalucian          andaluz                                 
